groupId,deviceIndex,deviceSN,deviceTimestampUs,fileName
0,1,CV3T561000H0,1787132602037587,Device1_frame_000000_1787132602037587.png
1,0,CV3T561000B5,1787132602037518,Device0_frame_000000_1787132602037518.png
2,2,CPBG1630011D,1787132602040199,Device2_frame_000000_1787132602040199.png
3,0,CV3T561000B5,1787132602070847,Device0_frame_000001_1787132602070847.png
4,1,CV3T561000H0,1787132602070916,Device1_frame_000001_1787132602070916.png
5,2,CPBG1630011D,1787132602073532,Device2_frame_000001_1787132602073532.png
6,1,CV3T561000H0,1787132602104249,Device1_frame_000002_1787132602104249.png
7,0,CV3T561000B5,1787132602104180,Device0_frame_000002_1787132602104180.png
8,2,CPBG1630011D,1787132602106866,Device2_frame_000002_1787132602106866.png
9,0,CV3T561000B5,1787132602137515,Device0_frame_000003_1787132602137515.png
10,2,CPBG1630011D,1787132602140199,Device2_frame_000003_1787132602140199.png
11,1,CV3T561000H0,1787132602137584,Device1_frame_000003_1787132602137584.png
12,0,CV3T561000B5,1787132602170849,Device0_frame_000004_1787132602170849.png
13,1,CV3T561000H0,1787132602170918,Device1_frame_000004_1787132602170918.png
14,2,CPBG1630011D,1787132602173535,Device2_frame_000004_1787132602173535.png
15,0,CV3T561000B5,1787132602204188,Device0_frame_000005_1787132602204188.png
16,2,CPBG1630011D,1787132602206875,Device2_frame_000005_1787132602206875.png
17,1,CV3T561000H0,1787132602204257,Device1_frame_000005_1787132602204257.png
18,0,CV3T561000B5,1787132602237515,Device0_frame_000006_1787132602237515.png
19,1,CV3T561000H0,1787132602237585,Device1_frame_000006_1787132602237585.png
20,2,CPBG1630011D,1787132602240199,Device2_frame_000006_1787132602240199.png
21,1,CV3T561000H0,1787132602270918,Device1_frame_000007_1787132602270918.png
22,0,CV3T561000B5,1787132602270848,Device0_frame_000007_1787132602270848.png
23,2,CPBG1630011D,1787132602273535,Device2_frame_000007_1787132602273535.png
24,0,CV3T561000B5,1787132602304182,Device0_frame_000008_1787132602304182.png
25,1,CV3T561000H0,1787132602304251,Device1_frame_000008_1787132602304251.png
26,2,CPBG1630011D,1787132602306869,Device2_frame_000008_1787132602306869.png
27,0,CV3T561000B5,1787132602337515,Device0_frame_000009_1787132602337515.png
28,2,CPBG1630011D,1787132602340199,Device2_frame_000009_1787132602340199.png
29,0,CV3T561000B5,1787132602370847,Device0_frame_000010_1787132602370847.png
30,1,CV3T561000H0,1787132602337585,Device1_frame_000009_1787132602337585.png
31,2,CPBG1630011D,1787132602373535,Device2_frame_000010_1787132602373535.png
32,1,CV3T561000H0,1787132602370917,Device1_frame_000010_1787132602370917.png
33,0,CV3T561000B5,1787132602404182,Device0_frame_000011_1787132602404182.png
34,1,CV3T561000H0,1787132602404252,Device1_frame_000011_1787132602404252.png
35,2,CPBG1630011D,1787132602406870,Device2_frame_000011_1787132602406870.png
36,1,CV3T561000H0,1787132602437585,Device1_frame_000012_1787132602437585.png
37,0,CV3T561000B5,1787132602437515,Device0_frame_000012_1787132602437515.png
