sn,sensor,frameNumSource,missingFrameNum
CPBG1630011D,depth,hw,50460
CPBG1630011D,depth,hw,50501
CPBG1630011D,depth,hw,50509
CPBG1630011D,depth,hw,50741
CPBG1630011D,depth,hw,50762
CPBG1630011D,depth,hw,51273
CPBG1630011D,depth,hw,51275
CPBG1630011D,depth,hw,51303
CPBG1630011D,depth,hw,51672
CPBG1630011D,depth,hw,51731
CPBG1630011D,depth,hw,51863
CPBG1630011D,depth,hw,51868
CPBG1630011D,depth,hw,52239
CPBG1630011D,depth,hw,52836
CPBG1630011D,depth,hw,52885
CPBG1630011D,depth,hw,52924
CPBG1630011D,depth,hw,53212
CPBG1630011D,depth,hw,53397
CPBG1630011D,depth,hw,53659
CPBG1630011D,depth,hw,53664
CPBG1630011D,depth,hw,53667
CPBG1630011D,depth,hw,54171
CPBG1630011D,depth,hw,54279
CPBG1630011D,depth,hw,54295
CPBG1630011D,depth,hw,54317
CPBG1630011D,depth,hw,54478
CPBG1630011D,depth,hw,54505
CPBG1630011D,depth,hw,54533
CPBG1630011D,depth,hw,54686
CPBG1630011D,depth,hw,54770
CPBG1630011D,depth,hw,54829
CPBG1630011D,depth,hw,54843
CPBG1630011D,depth,hw,55370
CPBG1630011D,depth,hw,55407
CPBG1630011D,depth,hw,55457
CPBG1630011D,depth,hw,55598
CPBG1630011D,depth,hw,56126
CPBG1630011D,depth,hw,56482
CPBG1630011D,depth,hw,56707
CPBG1630011D,depth,hw,56964
CPBG1630011D,depth,hw,57066
CPBG1630011D,depth,hw,57070
CPBG1630011D,depth,hw,57142
CPBG1630011D,depth,hw,57218
CPBG1630011D,depth,hw,57246
CPBG1630011D,depth,hw,57415
CPBG1630011D,depth,hw,58022
CPBG1630011D,depth,hw,58042
CPBG1630011D,depth,hw,58049
CPBG1630011D,depth,hw,58227
CPBG1630011D,depth,hw,58532
CPBG1630011D,depth,hw,58545
CPBG1630011D,depth,hw,58605
CPBG1630011D,depth,hw,58692
CPBG1630011D,depth,hw,58767
CPBG1630011D,depth,hw,58772
CPBG1630011D,depth,hw,59063
CPBG1630011D,depth,hw,59211
CPBG1630011D,depth,hw,59217
CPBG1630011D,depth,hw,59382
CPBG1630011D,depth,hw,59664
CPBG1630011D,depth,hw,59679
CPBG1630011D,depth,hw,59702
CPBG1630011D,depth,hw,59740
CPBG1630011D,depth,hw,60340
CPBG1630011D,depth,hw,60428
CPBG1630011D,depth,hw,60497
CPBG1630011D,depth,hw,60606
CPBG1630011D,depth,hw,61045
CPBG1630011D,depth,hw,61175
CPBG1630011D,depth,hw,61182
CPBG1630011D,depth,hw,61184
CPBG1630011D,depth,hw,61397
CPBG1630011D,depth,hw,61539
CPBG1630011D,depth,hw,61543
CPBG1630011D,depth,hw,61584
CPBG1630011D,depth,hw,61615
CPBG1630011D,depth,hw,61676
CPBG1630011D,depth,hw,61737
CPBG1630011D,depth,hw,61791
CPBG1630011D,depth,hw,62282
CPBG1630011D,depth,hw,62333
CPBG1630011D,depth,hw,62364
CPBG1630011D,depth,hw,62464
CPBG1630011D,depth,hw,62482
CPBG1630011D,depth,hw,62493
CPBG1630011D,depth,hw,62497
CPBG1630011D,depth,hw,62531
CPBG1630011D,depth,hw,62551
CPBG1630011D,depth,hw,62571
CPBG1630011D,depth,hw,62781
CPBG1630011D,depth,hw,62880
CPBG1630011D,depth,hw,63016
CPBG1630011D,depth,hw,63149
CPBG1630011D,depth,hw,63172
CPBG1630011D,depth,hw,63470
CPBG1630011D,depth,hw,63682
CPBG1630011D,depth,hw,63754
CPBG1630011D,depth,hw,63972
CPBG1630011D,depth,hw,64353
CPBG1630011D,depth,hw,64503
CPBG1630011D,depth,hw,64546
CPBG1630011D,depth,hw,64679
CPBG1630011D,depth,hw,64691
CPBG1630011D,depth,hw,64828
CPBG1630011D,depth,hw,65012
CPBG1630011D,depth,hw,65054
CPBG1630011D,depth,hw,65220
CPBG1630011D,depth,hw,65361
CPBG1630011D,depth,hw,65597
CPBG1630011D,depth,hw,65736
CPBG1630011D,depth,hw,65765
CPBG1630011D,depth,hw,65859
CPBG1630011D,depth,hw,65862
CPBG1630011D,depth,hw,65869
CPBG1630011D,depth,hw,66026
CPBG1630011D,depth,hw,66129
CPBG1630011D,depth,hw,66131
CPBG1630011D,depth,hw,66134
CPBG1630011D,depth,hw,66185
CPBG1630011D,depth,hw,66369
CPBG1630011D,depth,hw,66445
CPBG1630011D,depth,hw,66583
CPBG1630011D,depth,hw,66625
CPBG1630011D,depth,hw,66716
CPBG1630011D,depth,hw,66948
CPBG1630011D,depth,hw,66990
CPBG1630011D,depth,hw,67035
CPBG1630011D,depth,hw,67045
CPBG1630011D,depth,hw,67470
CPBG1630011D,depth,hw,67529
CPBG1630011D,depth,hw,67626
CPBG1630011D,depth,hw,67752
CPBG1630011D,depth,hw,67881
CPBG1630011D,depth,hw,67984
CPBG1630011D,depth,hw,67998
CPBG1630011D,depth,hw,68024
CPBG1630011D,depth,hw,68062
CPBG1630011D,depth,hw,68193
CPBG1630011D,depth,hw,68590
CPBG1630011D,depth,hw,68779
CPBG1630011D,depth,hw,68797
CPBG1630011D,depth,hw,68936
CPBG1630011D,depth,hw,68976
CPBG1630011D,depth,hw,69347
CPBG1630011D,depth,hw,69530
CPBG1630011D,depth,hw,69896
CPBG1630011D,depth,hw,70240
CPBG1630011D,depth,hw,70414
CPBG1630011D,depth,hw,70663
CPBG1630011D,depth,hw,70680
CPBG1630011D,depth,hw,70700
CPBG1630011D,depth,hw,70750
CPBG1630011D,depth,hw,70756
CPBG1630011D,depth,hw,71544
CPBG1630011D,depth,hw,71658
CPBG1630011D,depth,hw,71679
CPBG1630011D,depth,hw,71783
CPBG1630011D,depth,hw,72235
CPBG1630011D,depth,hw,72345
CPBG1630011D,depth,hw,72382
CPBG1630011D,depth,hw,72386
CPBG1630011D,depth,hw,72817
CPBG1630011D,depth,hw,72950
CPBG1630011D,depth,hw,73051
CPBG1630011D,depth,hw,73538
CPBG1630011D,depth,hw,73618
CPBG1630011D,depth,hw,73684
CPBG1630011D,depth,hw,73841
CPBG1630011D,depth,hw,73847
CPBG1630011D,depth,hw,73924
CPBG1630011D,depth,hw,74070
CPBG1630011D,depth,hw,74177
CPBG1630011D,depth,hw,74247
CPBG1630011D,depth,hw,74260
CPBG1630011D,depth,hw,74372
CPBG1630011D,depth,hw,74498
CPBG1630011D,depth,hw,74507
CPBG1630011D,depth,hw,74637
