deviceIndex,streamType,hwTimestampUs,globalTimestampUs,sysTimestampUs,frameNumber,,device1 globaltime ,device2 globaltime,device2-device0,device2-device1
0,DEPTH,1787124605957864,1787124605961033,1787124605981320,105,,1787124605960652,1787124605960297,-740,-360
0,DEPTH,1787124605991204,1787124605994375,1787124606014700,106,,1787124605993992,1787124605993632,-740,-360
0,DEPTH,1787124606024532,1787124606027705,1787124606048018,107,,1787124606027319,1787124606026957,-750,-360
0,DEPTH,1787124606057863,1787124606061038,1787124606081783,108,,1787124606060650,1787124606060284,-750,-370
0,DEPTH,1787124606091198,1787124606094376,1787124606115219,109,,1787124606093985,1787124606093615,-760,-370
0,DEPTH,1787124606124531,1787124606127711,1787124606148052,110,,1787124606127317,1787124606127369,-350,50
0,DEPTH,1787124606157859,1787124606161041,1787124606181414,111,,1787124606160646,1787124606160695,-350,50
0,DEPTH,1787124606191197,1787124606194354,1787124606214721,112,,1787124606194210,1787124606194031,-320,-180
0,DEPTH,1787124606224531,1787124606227690,1787124606248465,113,,1787124606227545,1787124606227362,-330,-180
0,DEPTH,1787124606257873,1787124606261033,1787124606281442,114,,1787124606260889,1787124606260703,-330,-180
0,DEPTH,1787124606291209,1787124606294372,1787124606314738,115,,1787124606294225,1787124606294036,-340,-190
0,DEPTH,1787124606324535,1787124606327700,1787124606348396,116,,1787124606327552,1787124606327361,-340,-190
0,DEPTH,1787124606357874,1787124606361041,1787124606381736,117,,1787124606360892,1787124606360698,-350,-200
0,DEPTH,1787124606391204,1787124606394373,1787124606415015,118,,1787124606394221,1787124606394024,-350,-200
0,DEPTH,1787124606424547,1787124606427718,1787124606448314,119,,1787124606427566,1787124606427366,-350,-200
0,DEPTH,1787124606457866,1787124606461038,1787124606481710,120,,1787124606460886,1787124606460683,-350,-200
0,DEPTH,1787124606491200,1787124606494374,1787124606515207,121,,1787124606494221,1787124606494015,-360,-210
0,DEPTH,1787124606524569,1787124606527746,1787124606548390,122,,1787124606527591,1787124606527383,-360,-210
0,DEPTH,1787124606557893,1787124606561071,1787124606581709,123,,1787124606560915,1787124606560704,-370,-210
0,DEPTH,1787124606591200,1787124606594380,1787124606615402,124,,1787124606594223,1787124606594008,-380,-220
0,DEPTH,1787124606624537,1787124606627719,1787124606648111,125,,1787124606627560,1787124606627344,-370,-220
0,DEPTH,1787124606657867,1787124606661051,1787124606681676,126,,1787124606660892,1787124606660672,-380,-220
0,DEPTH,1787124606691201,1787124606694387,1787124606714756,127,,1787124606694227,1787124606694005,-380,-220
0,DEPTH,1787124606724533,1787124606727721,1787124606748274,128,,1787124606694227,1787124606694005,-33720,-220
0,DEPTH,1787124606757866,1787124606761056,1787124606781635,129,,1787124606760893,1787124606760665,-390,-230
0,DEPTH,1787124606791209,1787124606794401,1787124606814897,130,,1787124606794237,1787124606794006,-400,-230
0,DEPTH,1787124606824537,1787124606827731,1787124606848349,131,,1787124606827566,1787124606827332,-400,-230
0,DEPTH,1787124606857895,1787124606861091,1787124606881948,132,,1787124606860924,1787124606860688,-410,-240
0,DEPTH,1787124606891225,1787124606894423,1787124606915027,133,,1787124606894255,1787124606894016,-410,-240
0,DEPTH,1787124606924537,1787124606927737,1787124606948299,134,,1787124606927568,1787124606927326,-410,-240
0,DEPTH,1787124606957874,1787124606961076,1787124606981740,135,,1787124606960905,1787124606960661,-410,-240
0,DEPTH,1787124606991204,1787124606994408,1787124607015102,136,,1787124606994236,1787124606993989,-420,-250
0,DEPTH,1787124607024539,1787124607027745,1787124607048487,137,,1787124607027572,1787124607027321,-420,-250
0,DEPTH,1787124607057871,1787124607061079,1787124607081913,138,,1787124607060904,1787124607060652,-420,-250
0,DEPTH,1787124607091204,1787124607094414,1787124607114981,139,,1787124607094238,1787124607093983,-430,-250
0,DEPTH,1787124607124542,1787124607127754,1787124607148147,140,,1787124607127578,1787124607127491,-260,-80
0,DEPTH,1787124607157870,1787124607161084,1787124607181844,141,,1787124607160906,1787124607160818,-270,-90
0,DEPTH,1787124607191211,1787124607194300,1787124607214896,142,,1787124607194272,1787124607194157,-150,-120
0,DEPTH,1787124607224532,1787124607227622,1787124607248061,143,,1787124607227595,1787124607227478,-150,-120
0,DEPTH,1787124607257873,1787124607260965,1787124607281849,144,,1787124607260937,1787124607260816,-150,-120
