comparison_type,device_i,device_j,stream,hw_diff_us,sys_diff_us,timestamp_us
cross_stream,0,0,depth+color,4,0,1784283617265206
cross_stream,0,0,depth+color,4,0,1784283617298658
cross_stream,0,0,depth+color,5,0,1784283617332218
cross_stream,0,0,depth+color,4,0,1784283617365807
cross_stream,0,0,depth+color,5,0,1784283617398973
cross_stream,0,0,depth+color,4,0,1784283617432001
cross_stream,0,0,depth+color,4,0,1784283617465332
cross_stream,0,0,depth+color,5,0,1784283617498512
cross_stream,0,0,depth+color,4,0,1784283617531871
cross_stream,0,0,depth+color,4,0,1784283617565419
cross_stream,0,0,depth+color,4,0,1784283617598605
cross_stream,0,0,depth+color,5,0,1784283617632003
cross_stream,0,0,depth+color,5,0,1784283617665261
cross_stream,0,0,depth+color,4,0,1784283617698545
cross_stream,0,0,depth+color,5,0,1784283617731992
cross_stream,0,0,depth+color,4,0,1784283617765212
cross_stream,0,0,depth+color,5,0,1784283617798511
cross_stream,0,0,depth+color,4,0,1784283617833485
cross_stream,0,0,depth+color,5,0,1784283617865069
cross_stream,0,0,depth+color,5,0,1784283617898513
cross_stream,0,0,depth+color,5,0,1784283617931814
cross_stream,0,0,depth+color,5,0,1784283617965474
cross_stream,0,0,depth+color,4,0,1784283617998886
cross_stream,0,0,depth+color,5,0,1784283618031923
cross_stream,0,0,depth+color,4,0,1784283618065675
cross_stream,0,0,depth+color,5,0,1784283618098656
cross_stream,0,0,depth+color,5,0,1784283618131846
cross_stream,0,0,depth+color,5,0,1784283618165285
cross_stream,0,0,depth+color,4,0,1784283618198979
cross_stream,0,0,depth+color,5,0,1784283618265310
cross_stream,0,0,depth+color,5,0,1784283618298861
cross_stream,0,0,depth+color,4,0,1784283618331856
cross_stream,0,0,depth+color,5,0,1784283618365439
cross_stream,0,0,depth+color,5,0,1784283618432199
cross_stream,0,0,depth+color,5,0,1784283618465444
cross_stream,0,0,depth+color,5,33361,1784283618498805
cross_stream,0,0,depth+color,4,0,1784283618532055
cross_stream,0,0,depth+color,5,0,1784283618565755
cross_stream,0,0,depth+color,5,0,1784283618599076
cross_stream,0,0,depth+color,4,0,1784283618631870
cross_stream,0,0,depth+color,5,0,1784283618665289
cross_stream,0,0,depth+color,5,0,1784283618698561
